name;address;$rel_CategoryAgency_label_category;$rel_Department_code_department;latitude;longitude
Aéroport AGEN-LA-GARENNE;LE PASSAGE 47520;Airport;47;44.175;0.591
Aéroport AJACCIO-NAPOLEON-BONAPARTE;AJACCIO 20090;Airport;2A;41.924;8.803
Aéroport ALBI-LE-SEQUESTRE;ALBI 81000;Airport;81;43.914;2.113
Aéroport ANGOULEME-BRIE-CHAMPNIERS;CHAMPNIERS 16430;Airport;16;45.729;0.221
Aéroport ANNECY-MEYTHET;METZ T ESSY 74370;Airport;74;45.929;6.099
Aéroport AURILLAC;AURILLAC 15000;Airport;15;44.891;2.422
Aéroport AUXERRE-BRANCHES;AUXERRE 89380;Airport;89;47.85;3.497
Aéroport AVIGNON-CAUMONT;RN7MONT FAVET 84140;Airport;84;43.907;4.902
Aéroport BASTIA-PORETTA;CCI de BastiaBORGO 20290;Airport;2B;42.554;9.483
Aéroport BEAUVAIS-TILLE;TILLE 60000;Airport;60;49.454;2.113
Aéroport BERGERAC-ROUMANIERE;Route d'Agen BERGERAC 24100;Airport;24;44.825;0.519
Aéroport BEZIERS-VIAS;VIAS 34450;Airport;34;43.324;3.356
Aéroport BIARRITZ-BAYONNE-ANGLET;7, esplanade de l'Europe ANGLET 64600  CEDEX;Airport;64;43.468;-1.523
Aéroport BORDEAUX-MERIGNAC;BORDEAUX 33700;Airport;33;44.828;-0.716
Aéroport BOURGES;Route d'Issoudun BOURGES 18000;Airport;18;47.058;2.37
Aéroport BREST-BRETAGNE;GUIPAVAS 29490;Airport;29;48.448;-4.418
Aéroport BRIVE-VALLEE-DE-DORDOGNE;NESPOUL 19600;Airport;19;45.151;1.469
Aéroport CAEN-CARPIQUET;CARPIQUET 14650;Airport;14;49.173;-0.45
Aéroport CALAIS-DUNKERQUE;MARCK 62730;Airport;62;50.962;1.955
Aéroport CALVI-ST-CATHERINE;CALVI 20260;Airport;2B;42.531;8.793
Aéroport CARCASSONNE-SALVAZA;Route de Montréal CARCASSONNE 11000;Airport;11;43.216;2.306
Aéroport CASTRES-MAZAMET;LABRUGUIERE 81290;Airport;81;43.556;2.289
Aéroport CHAMBERY-AIX-LES-BAINS;VIVIERS DU LAC 73420;Airport;73;45.638;5.88
Aéroport CHATEAUROUX-DEOLS;RN 20 DEOLS 36130;Airport;36;46.862;1.731
Aéroport CHERBOURG-MAUPERTUS;7, rue Jean Mermoz GONNEVILLE 50330;Airport;50;49.65;-1.47
Aéroport CHOLET-LE-PONTREAU;Le Pontreau CHOLET 49300;Airport;49;47.082;-0.877
Aéroport CLERMONT-FERRAND/AUVERGNE;AULNAT63510;Airport;63;45.786;3.169
Aéroport COLMAR-HOUSSEN;43, rue de Strasbourg COLMAR 68000;Airport;68;48.11;7.359
Aéroport DEAUVILLE-ST-GATIEN;SAINT GATIEN DES BOIS 14130;Airport;14;49.365;0.154
Aéroport DIJON-LONGVIC;B.P. 25 LONGVIC21601 CEDEX;Airport;21;47.269;5.09
