Chemin des Baillères, 1400 L'Abergement-Clémenciat
Clémenciat, 1400 L'Abergement-Clémenciat
Allée Léon Tournier-Billion, 1500 Ambérieu-en-Bugey
Rue Rene Vidart, 1500 Ambérieu-en-Bugey
Le Bellaton, 1500 Ambronay
Chavrières, 1500 Ambutrix
Bouilloud, 1350 Anglefort
Place à la Fontaine, 1230 Arandas
Chemin de Quatre Rues, 1300 Arboys en Bugey
Rue de l'École, 1510 Armix
Chemin du Pré Ney, 1570 Asnières-sur-Saône
Charriat, 1340 Attignat
Impasse de la Croix Blanche, 1380 Bâgé-Dommartin
Lieu Dit le Carron, 1380 Bâgé-Dommartin
Au Bourg, 1990 Baneins
Rue Jules Verne, 1100 Bellignat
Montée du Pont, 1200 Valserhône
Pierre Grosse, 1200 Valserhône
Chemin de Cublon, 1300 Belley
Sur Cul Blon, 1300 Belley
La Seigne, 1130 Belleydoux
Côte à la Pie, 1260 Valromey-sur-Séran
Route du Bac des Combes, 1260 Valromey-sur-Séran
Impasse du Tilleul, 1370 Bény
Lotissement la Pinède, 1700 Beynost
Chemin de Biches, 1290 Biziat
les Feuillates, 1120 La Boisse
Route de Chatillon, 1330 Bouligneux
Place Gustave Doré, 1000 Bourg-en-Bresse
Allée des 1er et 5e R.T.M., 1000 Bourg-en-Bresse
La Banchere, 1640 Boyeux-Saint-Jérôme
Rue La Corne, 1110 Brénod
Impasse du Petit Bois, 1470 Briord
Rosiere, 1310 Buellas
La Sauge, 1450 Cerdon
La Belliere, 1250 Ceyzériat
Rue du Puit (avrissieu le Bas), 1350 Ceyzérieu
La Marine, 1320 Chalamont
Lieu Dit le Peage, 1320 Chalamont
Champ de Mont Nord, 1480 Chaleins
Impasse du Pré Martin, 1260 Champagne-en-Valromey
Sous la Croix-Corcelles, 1110 Champdor-Corcelles
Allée d'Izernore, 1420 Chanay
Impasse du Porche, 1400 Chanoz-Châtenay
Rue du Pont de Chazey, 1800 Charnoz-sur-Ain
Chemin du Gosset, 1320 Châtenay
La Masure, 1320 Châtillon-la-Palud
Lotissement les Cottages de Chatillon, 1400 Châtillon-sur-Chalaronne
Montaplan, 1400 Châtillon-sur-Chalaronne
Impasse Mourissier, 1190 Chavannes-sur-Reyssouze
Impasse de la Frandelière, 1660 Chaveyriat
le Gibet, 1660 Chaveyriat
Sur Chazey, 1300 Chazey-Bons
Impasse de la Mouche, 1510 Cheignieu-la-Balme
Le Purgatoire, 1190 Chevroux
Rue de la Bergerie, 1390 Civrieux
Chemin de la Grange Orguet, 1270 Coligny
Imp de la Grange Foyard, 1270 Coligny
Lotissement ZA la Vernache, 1400 Condeissiat
Rue de Parmy, 1200 Confort
Rue de Bressin, 1300 Contrevoz
Route de la Croix Morrex, 1420 Corbonod
Impasse de la Fruitière, 1110 Corlier
Impasse Sous la Ville, 1250 Corveissiat
les Brosses, 1560 Courtes
Impasse des Preles, 1340 Bresse Vallons
Chemin du Pommier, 1350 Cressin-Rochefort
Lotissement les Moissons, 1290 Cruzilles-lès-Mépillat
Rue du Stade, 1150 Culoz
Le Tillet, 1560 Curciat-Dongalon
Route de Genève, 1120 Dagneux
Chemin de la Charderie, 1220 Divonne-les-Bains
Lotissement les Hauts de Vesenex, 1220 Divonne-les-Bains
Lieu Dit la Petite Grange, 1240 Dompierre-sur-Veyle
Impasse de la Carronnière, 1400 Dompierre-sur-Chalaronne
Rue d'Emondeau, 1590 Dortan
Chemin des Charmettes, 1160 Druillat
Place de la Batteuse, 1230 Évosges
Cpg Domaine du Val de Saone, 1480 Fareins
Allée de l'Église, 1350 Flaxieu
Chemin des Pervenches, 1090 Francheleins
Chemin du Pont des Sires, 1140 Garnerans
Chemin de Monchanais, 1170 Gex
Route de Saint-Germain, 1130 Giron
Les Cotes, 1250 Grand-Corent
Lotissement des Vieilles Vignes, 1090 Guéreins
Rue de l'Alagnier, 1110 Plateau d'Hauteville
Rue de la Combe Dergis Ste Anne, 1110 Plateau d'Hauteville
Chemin de Réoux, 1260 Haut Valromey
Route de Comboz, 1260 Haut Valromey
De Bourbouillon, 1200 Injoux-Génissiat
Lieu Dit au Bois d’Amont, 1580 Izernore
Impasse du Bouvier, 1480 Jassans-Riottier
Moraly, 1340 Jayat
